rl_ID,rl_Branch,rl_Route,rl_CompleteTime,ri_Prompt,ri_Response
29877,12,35,11/28/22 5:24 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29875,12,13,11/28/22 5:22 AM,What is the vehicle number?,12095
29875,12,13,11/28/22 5:22 AM,What is the mileage of the vehicle?,126366
29875,12,13,11/28/22 5:22 AM,Has a vehicle inspection been performed?,Yes
29875,12,13,11/28/22 5:22 AM,Is the vehicle free of engine and mechanical issues?,Yes
29875,12,13,11/28/22 5:22 AM,"If engine or mechanical issues, do you have any comments?",NULL
29875,12,13,11/28/22 5:22 AM,Have all fluid levels been checked?,Yes
29875,12,13,11/28/22 5:22 AM,Are all tires within serviceable specs?,Yes
29875,12,13,11/28/22 5:22 AM,Is the lift gate operational and safe?,Yes
29875,12,13,11/28/22 5:22 AM,Any comments?,NULL
29875,12,13,11/28/22 5:22 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29896,12,23,11/28/22 5:10 AM,What is the vehicle number?,13075
29896,12,23,11/28/22 5:10 AM,What is the mileage of the vehicle?,84855
29896,12,23,11/28/22 5:10 AM,Has a vehicle inspection been performed?,Yes
29896,12,23,11/28/22 5:10 AM,Is the vehicle free of engine and mechanical issues?,Yes
29896,12,23,11/28/22 5:10 AM,"If engine or mechanical issues, do you have any comments?",no
29896,12,23,11/28/22 5:10 AM,Have all fluid levels been checked?,Yes
29896,12,23,11/28/22 5:10 AM,Are all tires within serviceable specs?,Yes
29896,12,23,11/28/22 5:10 AM,Is the lift gate operational and safe?,Yes
29896,12,23,11/28/22 5:10 AM,Any comments?,no
29896,12,23,11/28/22 5:10 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29854,12,3,11/23/22 5:56 AM,What is the vehicle number?,12096
29854,12,3,11/23/22 5:56 AM,What is the mileage of the vehicle?,137564
29854,12,3,11/23/22 5:56 AM,Has a vehicle inspection been performed?,Yes
29854,12,3,11/23/22 5:56 AM,Is the vehicle free of engine and mechanical issues?,Yes
29854,12,3,11/23/22 5:56 AM,"If engine or mechanical issues, do you have any comments?",NULL
29854,12,3,11/23/22 5:56 AM,Have all fluid levels been checked?,Yes
29854,12,3,11/23/22 5:56 AM,Are all tires within serviceable specs?,Yes
29854,12,3,11/23/22 5:56 AM,Is the lift gate operational and safe?,Yes
29854,12,3,11/23/22 5:56 AM,Any comments?,NULL
29854,12,3,11/23/22 5:56 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29859,12,38,11/23/22 5:54 AM,What is the vehicle number?,12760
29859,12,38,11/23/22 5:54 AM,What is the mileage of the vehicle?,194921
29859,12,38,11/23/22 5:54 AM,Has a vehicle inspection been performed?,Yes
29859,12,38,11/23/22 5:54 AM,Is the vehicle free of engine and mechanical issues?,Yes
29859,12,38,11/23/22 5:54 AM,"If engine or mechanical issues, do you have any comments?",NULL
29859,12,38,11/23/22 5:54 AM,Have all fluid levels been checked?,Yes
29859,12,38,11/23/22 5:54 AM,Are all tires within serviceable specs?,Yes
29859,12,38,11/23/22 5:54 AM,Is the lift gate operational and safe?,Yes
29859,12,38,11/23/22 5:54 AM,Any comments?,NULL
29859,12,38,11/23/22 5:54 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29856,12,23,11/23/22 5:40 AM,What is the vehicle number?,13075
29856,12,23,11/23/22 5:40 AM,What is the mileage of the vehicle?,84775
29856,12,23,11/23/22 5:40 AM,Has a vehicle inspection been performed?,Yes
29856,12,23,11/23/22 5:40 AM,Is the vehicle free of engine and mechanical issues?,Yes
29856,12,23,11/23/22 5:40 AM,"If engine or mechanical issues, do you have any comments?",no
29856,12,23,11/23/22 5:40 AM,Have all fluid levels been checked?,Yes
29856,12,23,11/23/22 5:40 AM,Are all tires within serviceable specs?,Yes
29856,12,23,11/23/22 5:40 AM,Is the lift gate operational and safe?,Yes
29856,12,23,11/23/22 5:40 AM,Any comments?,no
29856,12,23,11/23/22 5:40 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29858,12,35,11/23/22 5:12 AM,What is the vehicle number?,11583
29858,12,35,11/23/22 5:12 AM,What is the mileage of the vehicle?,330010
29858,12,35,11/23/22 5:12 AM,Has a vehicle inspection been performed?,Yes
29858,12,35,11/23/22 5:12 AM,Is the vehicle free of engine and mechanical issues?,Yes
29858,12,35,11/23/22 5:12 AM,"If engine or mechanical issues, do you have any comments?",NULL
29858,12,35,11/23/22 5:12 AM,Have all fluid levels been checked?,Yes
29858,12,35,11/23/22 5:12 AM,Are all tires within serviceable specs?,Yes
29858,12,35,11/23/22 5:12 AM,Is the lift gate operational and safe?,Yes
29858,12,35,11/23/22 5:12 AM,Any comments?,NULL
29858,12,35,11/23/22 5:12 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",Yes
29857,12,32,11/23/22 5:11 AM,What is the vehicle number?,13686
29857,12,32,11/23/22 5:11 AM,What is the mileage of the vehicle?,139400
29857,12,32,11/23/22 5:11 AM,Has a vehicle inspection been performed?,Yes
29857,12,32,11/23/22 5:11 AM,Is the vehicle free of engine and mechanical issues?,Yes
29857,12,32,11/23/22 5:11 AM,"If engine or mechanical issues, do you have any comments?",NULL
29857,12,32,11/23/22 5:11 AM,Have all fluid levels been checked?,Yes
29857,12,32,11/23/22 5:11 AM,Are all tires within serviceable specs?,Yes
29857,12,32,11/23/22 5:11 AM,Is the lift gate operational and safe?,Yes
29857,12,32,11/23/22 5:11 AM,Any comments?,NULL
29857,12,32,11/23/22 5:11 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29855,12,13,11/23/22 5:04 AM,What is the vehicle number?,11282
29855,12,13,11/23/22 5:04 AM,What is the mileage of the vehicle?,297163
29855,12,13,11/23/22 5:04 AM,Has a vehicle inspection been performed?,Yes
29855,12,13,11/23/22 5:04 AM,Is the vehicle free of engine and mechanical issues?,Yes
29855,12,13,11/23/22 5:04 AM,"If engine or mechanical issues, do you have any comments?",NULL
29855,12,13,11/23/22 5:04 AM,Have all fluid levels been checked?,Yes
29855,12,13,11/23/22 5:04 AM,Are all tires within serviceable specs?,Yes
29855,12,13,11/23/22 5:04 AM,Is the lift gate operational and safe?,Yes
29855,12,13,11/23/22 5:04 AM,Any comments?,NULL
29855,12,13,11/23/22 5:04 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29807,12,23,11/22/22 5:53 AM,What is the vehicle number?,13075
29807,12,23,11/22/22 5:53 AM,What is the mileage of the vehicle?,84614
29807,12,23,11/22/22 5:53 AM,Has a vehicle inspection been performed?,Yes
29807,12,23,11/22/22 5:53 AM,Is the vehicle free of engine and mechanical issues?,Yes
29807,12,23,11/22/22 5:53 AM,"If engine or mechanical issues, do you have any comments?",no
29807,12,23,11/22/22 5:53 AM,Have all fluid levels been checked?,Yes
29807,12,23,11/22/22 5:53 AM,Are all tires within serviceable specs?,Yes
29807,12,23,11/22/22 5:53 AM,Is the lift gate operational and safe?,Yes
29807,12,23,11/22/22 5:53 AM,Any comments?,no
29807,12,23,11/22/22 5:53 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29809,12,38,11/22/22 5:43 AM,What is the vehicle number?,12760
29809,12,38,11/22/22 5:43 AM,What is the mileage of the vehicle?,194811
29809,12,38,11/22/22 5:43 AM,Has a vehicle inspection been performed?,Yes
29809,12,38,11/22/22 5:43 AM,Is the vehicle free of engine and mechanical issues?,Yes
29809,12,38,11/22/22 5:43 AM,"If engine or mechanical issues, do you have any comments?",NULL
29809,12,38,11/22/22 5:43 AM,Have all fluid levels been checked?,Yes
29809,12,38,11/22/22 5:43 AM,Are all tires within serviceable specs?,Yes
29809,12,38,11/22/22 5:43 AM,Is the lift gate operational and safe?,Yes
29809,12,38,11/22/22 5:43 AM,Any comments?,NULL
29809,12,38,11/22/22 5:43 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29808,12,35,11/22/22 5:35 AM,What is the vehicle number?,11583
29808,12,35,11/22/22 5:35 AM,What is the mileage of the vehicle?,329635
29808,12,35,11/22/22 5:35 AM,Has a vehicle inspection been performed?,Yes
29808,12,35,11/22/22 5:35 AM,Is the vehicle free of engine and mechanical issues?,Yes
29808,12,35,11/22/22 5:35 AM,"If engine or mechanical issues, do you have any comments?",NULL
29808,12,35,11/22/22 5:35 AM,Have all fluid levels been checked?,Yes
29808,12,35,11/22/22 5:35 AM,Are all tires within serviceable specs?,Yes
29808,12,35,11/22/22 5:35 AM,Is the lift gate operational and safe?,Yes
29808,12,35,11/22/22 5:35 AM,Any comments?,NULL
29808,12,35,11/22/22 5:35 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29806,12,13,11/22/22 4:54 AM,What is the vehicle number?,12095
29806,12,13,11/22/22 4:54 AM,What is the mileage of the vehicle?,126203
29806,12,13,11/22/22 4:54 AM,Has a vehicle inspection been performed?,Yes
29806,12,13,11/22/22 4:54 AM,Is the vehicle free of engine and mechanical issues?,Yes
29806,12,13,11/22/22 4:54 AM,"If engine or mechanical issues, do you have any comments?",NULL
29806,12,13,11/22/22 4:54 AM,Have all fluid levels been checked?,Yes
29806,12,13,11/22/22 4:54 AM,Are all tires within serviceable specs?,Yes
29806,12,13,11/22/22 4:54 AM,Is the lift gate operational and safe?,Yes
29806,12,13,11/22/22 4:54 AM,Any comments?,NULL
29806,12,13,11/22/22 4:54 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29805,12,3,11/22/22 4:13 AM,What is the vehicle number?,12096
29805,12,3,11/22/22 4:13 AM,What is the mileage of the vehicle?,137333
29805,12,3,11/22/22 4:13 AM,Has a vehicle inspection been performed?,Yes
29805,12,3,11/22/22 4:13 AM,Is the vehicle free of engine and mechanical issues?,Yes
29805,12,3,11/22/22 4:13 AM,"If engine or mechanical issues, do you have any comments?",NULL
29805,12,3,11/22/22 4:13 AM,Have all fluid levels been checked?,Yes
29805,12,3,11/22/22 4:13 AM,Are all tires within serviceable specs?,Yes
29805,12,3,11/22/22 4:13 AM,Is the lift gate operational and safe?,Yes
29805,12,3,11/22/22 4:13 AM,Any comments?,cracked windshield 
29805,12,3,11/22/22 4:13 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",Yes
29810,12,32,11/22/22 3:57 AM,What is the vehicle number?,13676
29810,12,32,11/22/22 3:57 AM,What is the mileage of the vehicle?,139400
29810,12,32,11/22/22 3:57 AM,Has a vehicle inspection been performed?,Yes
29810,12,32,11/22/22 3:57 AM,Is the vehicle free of engine and mechanical issues?,Yes
29810,12,32,11/22/22 3:57 AM,"If engine or mechanical issues, do you have any comments?",NULL
29810,12,32,11/22/22 3:57 AM,Have all fluid levels been checked?,Yes
29810,12,32,11/22/22 3:57 AM,Are all tires within serviceable specs?,Yes
29810,12,32,11/22/22 3:57 AM,Is the lift gate operational and safe?,Yes
29810,12,32,11/22/22 3:57 AM,Any comments?,NULL
29810,12,32,11/22/22 3:57 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29764,12,3,11/21/22 7:07 AM,What is the vehicle number?,12096
29764,12,3,11/21/22 7:07 AM,What is the mileage of the vehicle?,111111
29764,12,3,11/21/22 7:07 AM,Has a vehicle inspection been performed?,Yes
29764,12,3,11/21/22 7:07 AM,Is the vehicle free of engine and mechanical issues?,Yes
29764,12,3,11/21/22 7:07 AM,"If engine or mechanical issues, do you have any comments?",NULL
29764,12,3,11/21/22 7:07 AM,Have all fluid levels been checked?,Yes
29764,12,3,11/21/22 7:07 AM,Are all tires within serviceable specs?,Yes
29764,12,3,11/21/22 7:07 AM,Is the lift gate operational and safe?,Yes
29764,12,3,11/21/22 7:07 AM,Any comments?,NULL
29764,12,3,11/21/22 7:07 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No
29767,12,32,11/21/22 6:09 AM,What is the vehicle number?,13676
