rl_ID,rl_Branch,rl_Route,rl_CompleteTime,ri_Prompt,ri_Response,rl_Date
35450,15,52,5/31/23 10:19 AM,What is the mileage of the vehicle?,1182,5/31/2023
35450,15,52,5/31/23 10:19 AM,Has a vehicle inspection been performed?,Yes,5/31/2023
35450,15,52,5/31/23 10:19 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/31/2023
35450,15,52,5/31/23 10:19 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/31/2023
35450,15,52,5/31/23 10:19 AM,Have all fluid levels been checked?,Yes,5/31/2023
35450,15,52,5/31/23 10:19 AM,Are all tires within serviceable specs?,Yes,5/31/2023
35450,15,52,5/31/23 10:19 AM,Is the lift gate operational and safe?,Yes,5/31/2023
35450,15,52,5/31/23 10:19 AM,Any comments?,NULL,5/31/2023
35450,15,52,5/31/23 10:19 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/31/2023
35411,15,12,5/31/23 7:48 AM,What is the vehicle number?,16367,5/30/2023
35411,15,12,5/31/23 7:48 AM,What is the mileage of the vehicle?,9611,5/30/2023
35411,15,12,5/31/23 7:48 AM,Has a vehicle inspection been performed?,Yes,5/30/2023
35411,15,12,5/31/23 7:48 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35411,15,12,5/31/23 7:48 AM,"If engine or mechanical issues, do you have any comments?",mo,5/30/2023
35411,15,12,5/31/23 7:48 AM,Have all fluid levels been checked?,Yes,5/30/2023
35411,15,12,5/31/23 7:48 AM,Are all tires within serviceable specs?,Yes,5/30/2023
35411,15,12,5/31/23 7:48 AM,Is the lift gate operational and safe?,Yes,5/30/2023
35411,15,12,5/31/23 7:48 AM,Any comments?,no,5/30/2023
35411,15,12,5/31/23 7:48 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",Yes,5/30/2023
35383,15,51,5/31/23 6:32 AM,What is the vehicle number?,12389,5/30/2023
35383,15,51,5/31/23 6:32 AM,What is the mileage of the vehicle?,4124,5/30/2023
35383,15,51,5/31/23 6:32 AM,Has a vehicle inspection been performed?,Yes,5/30/2023
35383,15,51,5/31/23 6:32 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35383,15,51,5/31/23 6:32 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/30/2023
35383,15,51,5/31/23 6:32 AM,Have all fluid levels been checked?,Yes,5/30/2023
35383,15,51,5/31/23 6:32 AM,Are all tires within serviceable specs?,Yes,5/30/2023
35383,15,51,5/31/23 6:32 AM,Is the lift gate operational and safe?,Yes,5/30/2023
35383,15,51,5/31/23 6:32 AM,Any comments?,NULL,5/30/2023
35383,15,51,5/31/23 6:32 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35390,15,6,5/31/23 6:28 AM,What is the vehicle number?,13663,5/30/2023
35390,15,6,5/31/23 6:28 AM,What is the mileage of the vehicle?,171254,5/30/2023
35390,15,6,5/31/23 6:28 AM,Has a vehicle inspection been performed?,Yes,5/30/2023
35390,15,6,5/31/23 6:28 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35390,15,6,5/31/23 6:28 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/30/2023
35390,15,6,5/31/23 6:28 AM,Have all fluid levels been checked?,Yes,5/30/2023
35390,15,6,5/31/23 6:28 AM,Are all tires within serviceable specs?,Yes,5/30/2023
35390,15,6,5/31/23 6:28 AM,Is the lift gate operational and safe?,Yes,5/30/2023
35390,15,6,5/31/23 6:28 AM,Any comments?,NULL,5/30/2023
35390,15,6,5/31/23 6:28 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35410,15,50,5/31/23 6:06 AM,What is the vehicle number?,11263,5/30/2023
35410,15,50,5/31/23 6:06 AM,What is the mileage of the vehicle?,65382,5/30/2023
35410,15,50,5/31/23 6:06 AM,Has a vehicle inspection been performed?,Yes,5/30/2023
35410,15,50,5/31/23 6:06 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35410,15,50,5/31/23 6:06 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/30/2023
35410,15,50,5/31/23 6:06 AM,Have all fluid levels been checked?,Yes,5/30/2023
35410,15,50,5/31/23 6:06 AM,Are all tires within serviceable specs?,Yes,5/30/2023
35410,15,50,5/31/23 6:06 AM,Is the lift gate operational and safe?,Yes,5/30/2023
35410,15,50,5/31/23 6:06 AM,Any comments?,NULL,5/30/2023
35410,15,50,5/31/23 6:06 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35414,15,56,5/31/23 5:49 AM,What is the vehicle number?,15677,5/30/2023
35414,15,56,5/31/23 5:49 AM,What is the mileage of the vehicle?,184056,5/30/2023
35414,15,56,5/31/23 5:49 AM,Has a vehicle inspection been performed?,Yes,5/30/2023
35414,15,56,5/31/23 5:49 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35414,15,56,5/31/23 5:49 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/30/2023
35414,15,56,5/31/23 5:49 AM,Have all fluid levels been checked?,Yes,5/30/2023
35414,15,56,5/31/23 5:49 AM,Are all tires within serviceable specs?,Yes,5/30/2023
35414,15,56,5/31/23 5:49 AM,Is the lift gate operational and safe?,Yes,5/30/2023
35414,15,56,5/31/23 5:49 AM,Any comments?,NULL,5/30/2023
35414,15,56,5/31/23 5:49 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35409,15,47,5/31/23 5:37 AM,What is the vehicle number?,13660,5/31/2023
35409,15,47,5/31/23 5:37 AM,What is the mileage of the vehicle?,203459,5/31/2023
35409,15,47,5/31/23 5:37 AM,Has a vehicle inspection been performed?,Yes,5/31/2023
35409,15,47,5/31/23 5:37 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/31/2023
35409,15,47,5/31/23 5:37 AM,"If engine or mechanical issues, do you have any comments?",n,5/31/2023
35409,15,47,5/31/23 5:37 AM,Have all fluid levels been checked?,Yes,5/31/2023
35409,15,47,5/31/23 5:37 AM,Are all tires within serviceable specs?,Yes,5/31/2023
35409,15,47,5/31/23 5:37 AM,Is the lift gate operational and safe?,Yes,5/31/2023
35409,15,47,5/31/23 5:37 AM,Any comments?,n,5/31/2023
35409,15,47,5/31/23 5:37 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/31/2023
35392,15,8040,5/31/23 5:04 AM,What is the vehicle number?,11176,5/30/2023
35392,15,8040,5/31/23 5:04 AM,What is the mileage of the vehicle?,68445,5/30/2023
35392,15,8040,5/31/23 5:04 AM,Has a vehicle inspection been performed?,Yes,5/30/2023
35392,15,8040,5/31/23 5:04 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35392,15,8040,5/31/23 5:04 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/30/2023
35392,15,8040,5/31/23 5:04 AM,Have all fluid levels been checked?,Yes,5/30/2023
35392,15,8040,5/31/23 5:04 AM,Are all tires within serviceable specs?,Yes,5/30/2023
35392,15,8040,5/31/23 5:04 AM,Is the lift gate operational and safe?,Yes,5/30/2023
35392,15,8040,5/31/23 5:04 AM,Any comments?,NULL,5/30/2023
35392,15,8040,5/31/23 5:04 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35391,15,8010,5/30/23 3:06 PM,What is the vehicle number?,12390,5/30/2023
35391,15,8010,5/30/23 3:06 PM,What is the mileage of the vehicle?,4900,5/30/2023
35391,15,8010,5/30/23 3:06 PM,Has a vehicle inspection been performed?,Yes,5/30/2023
35391,15,8010,5/30/23 3:06 PM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35391,15,8010,5/30/23 3:06 PM,"If engine or mechanical issues, do you have any comments?",NULL,5/30/2023
35391,15,8010,5/30/23 3:06 PM,Have all fluid levels been checked?,Yes,5/30/2023
35391,15,8010,5/30/23 3:06 PM,Are all tires within serviceable specs?,Yes,5/30/2023
35391,15,8010,5/30/23 3:06 PM,Is the lift gate operational and safe?,Yes,5/30/2023
35391,15,8010,5/30/23 3:06 PM,Any comments?,NULL,5/30/2023
35391,15,8010,5/30/23 3:06 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35393,15,52,5/30/23 12:47 PM,What is the vehicle number?,12394,5/30/2023
35393,15,52,5/30/23 12:47 PM,What is the mileage of the vehicle?,1158,5/30/2023
35393,15,52,5/30/23 12:47 PM,Has a vehicle inspection been performed?,Yes,5/30/2023
35393,15,52,5/30/23 12:47 PM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35393,15,52,5/30/23 12:47 PM,"If engine or mechanical issues, do you have any comments?",NULL,5/30/2023
35393,15,52,5/30/23 12:47 PM,Have all fluid levels been checked?,Yes,5/30/2023
35393,15,52,5/30/23 12:47 PM,Are all tires within serviceable specs?,Yes,5/30/2023
35393,15,52,5/30/23 12:47 PM,Is the lift gate operational and safe?,Yes,5/30/2023
35393,15,52,5/30/23 12:47 PM,Any comments?,NULL,5/30/2023
35393,15,52,5/30/23 12:47 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35381,15,47,5/30/23 11:21 AM,What is the vehicle number?,13660,5/29/2023
35381,15,47,5/30/23 11:21 AM,What is the mileage of the vehicle?,204318,5/29/2023
35381,15,47,5/30/23 11:21 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35381,15,47,5/30/23 11:21 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35381,15,47,5/30/23 11:21 AM,"If engine or mechanical issues, do you have any comments?",n,5/29/2023
35381,15,47,5/30/23 11:21 AM,Have all fluid levels been checked?,Yes,5/29/2023
35381,15,47,5/30/23 11:21 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35381,15,47,5/30/23 11:21 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35381,15,47,5/30/23 11:21 AM,Any comments?,n,5/29/2023
35381,15,47,5/30/23 11:21 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35364,15,51,5/30/23 7:57 AM,What is the vehicle number?,12389,5/29/2023
35364,15,51,5/30/23 7:57 AM,What is the mileage of the vehicle?,4000,5/29/2023
35364,15,51,5/30/23 7:57 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35364,15,51,5/30/23 7:57 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35364,15,51,5/30/23 7:57 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/29/2023
35364,15,51,5/30/23 7:57 AM,Have all fluid levels been checked?,Yes,5/29/2023
35364,15,51,5/30/23 7:57 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35364,15,51,5/30/23 7:57 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35364,15,51,5/30/23 7:57 AM,Any comments?,NULL,5/29/2023
35364,15,51,5/30/23 7:57 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35348,15,52,5/30/23 7:29 AM,What is the vehicle number?,12394,5/29/2023
35348,15,52,5/30/23 7:29 AM,What is the mileage of the vehicle?,1130,5/29/2023
35348,15,52,5/30/23 7:29 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35348,15,52,5/30/23 7:29 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35348,15,52,5/30/23 7:29 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/29/2023
35348,15,52,5/30/23 7:29 AM,Have all fluid levels been checked?,Yes,5/29/2023
35348,15,52,5/30/23 7:29 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35348,15,52,5/30/23 7:29 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35348,15,52,5/30/23 7:29 AM,Any comments?,NULL,5/29/2023
35348,15,52,5/30/23 7:29 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35371,15,12,5/30/23 6:50 AM,What is the vehicle number?,16367,5/29/2023
35371,15,12,5/30/23 6:50 AM,What is the mileage of the vehicle?,9535,5/29/2023
35371,15,12,5/30/23 6:50 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35371,15,12,5/30/23 6:50 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35371,15,12,5/30/23 6:50 AM,"If engine or mechanical issues, do you have any comments?",no,5/29/2023
35371,15,12,5/30/23 6:50 AM,Have all fluid levels been checked?,Yes,5/29/2023
35371,15,12,5/30/23 6:50 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35371,15,12,5/30/23 6:50 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35371,15,12,5/30/23 6:50 AM,Any comments?,no ,5/29/2023
35371,15,12,5/30/23 6:50 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35365,15,56,5/30/23 6:08 AM,What is the vehicle number?,15677,5/29/2023
35365,15,56,5/30/23 6:08 AM,What is the mileage of the vehicle?,183975,5/29/2023
35365,15,56,5/30/23 6:08 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35365,15,56,5/30/23 6:08 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35365,15,56,5/30/23 6:08 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/29/2023
35365,15,56,5/30/23 6:08 AM,Have all fluid levels been checked?,Yes,5/29/2023
35365,15,56,5/30/23 6:08 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35365,15,56,5/30/23 6:08 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35365,15,56,5/30/23 6:08 AM,Any comments?,NULL,5/29/2023
35365,15,56,5/30/23 6:08 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35346,15,6,5/30/23 5:54 AM,What is the vehicle number?,13663,5/29/2023
35346,15,6,5/30/23 5:54 AM,What is the mileage of the vehicle?,171181,5/29/2023
35346,15,6,5/30/23 5:54 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35346,15,6,5/30/23 5:54 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35346,15,6,5/30/23 5:54 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/29/2023
35346,15,6,5/30/23 5:54 AM,Have all fluid levels been checked?,Yes,5/29/2023
35346,15,6,5/30/23 5:54 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35346,15,6,5/30/23 5:54 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35346,15,6,5/30/23 5:54 AM,Any comments?,NULL,5/29/2023
35346,15,6,5/30/23 5:54 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35349,15,50,5/30/23 5:54 AM,What is the vehicle number?,11263,5/29/2023
35349,15,50,5/30/23 5:54 AM,What is the mileage of the vehicle?,65297,5/29/2023
35349,15,50,5/30/23 5:54 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35349,15,50,5/30/23 5:54 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35349,15,50,5/30/23 5:54 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/29/2023
35349,15,50,5/30/23 5:54 AM,Have all fluid levels been checked?,Yes,5/29/2023
35349,15,50,5/30/23 5:54 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35349,15,50,5/30/23 5:54 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35349,15,50,5/30/23 5:54 AM,Any comments?,NULL,5/29/2023
35349,15,50,5/30/23 5:54 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35366,15,8040,5/30/23 5:25 AM,What is the vehicle number?,11176,5/29/2023
35366,15,8040,5/30/23 5:25 AM,What is the mileage of the vehicle?,68345,5/29/2023
35366,15,8040,5/30/23 5:25 AM,Has a vehicle inspection been performed?,Yes,5/29/2023
35366,15,8040,5/30/23 5:25 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35366,15,8040,5/30/23 5:25 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/29/2023
35366,15,8040,5/30/23 5:25 AM,Have all fluid levels been checked?,Yes,5/29/2023
35366,15,8040,5/30/23 5:25 AM,Are all tires within serviceable specs?,Yes,5/29/2023
35366,15,8040,5/30/23 5:25 AM,Is the lift gate operational and safe?,Yes,5/29/2023
35366,15,8040,5/30/23 5:25 AM,Any comments?,NULL,5/29/2023
35366,15,8040,5/30/23 5:25 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35370,15,47,5/26/23 3:22 PM,What is the vehicle number?,13660,5/30/2023
35370,15,47,5/26/23 3:22 PM,What is the mileage of the vehicle?,204181,5/30/2023
35370,15,47,5/26/23 3:22 PM,Has a vehicle inspection been performed?,Yes,5/30/2023
35370,15,47,5/26/23 3:22 PM,Is the vehicle free of engine and mechanical issues?,Yes,5/30/2023
35370,15,47,5/26/23 3:22 PM,"If engine or mechanical issues, do you have any comments?",n,5/30/2023
35370,15,47,5/26/23 3:22 PM,Have all fluid levels been checked?,Yes,5/30/2023
35370,15,47,5/26/23 3:22 PM,Are all tires within serviceable specs?,Yes,5/30/2023
35370,15,47,5/26/23 3:22 PM,Is the lift gate operational and safe?,Yes,5/30/2023
35370,15,47,5/26/23 3:22 PM,Any comments?,n,5/30/2023
35370,15,47,5/26/23 3:22 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/30/2023
35347,15,8010,5/26/23 2:57 PM,What is the vehicle number?,12390,5/29/2023
35347,15,8010,5/26/23 2:57 PM,What is the mileage of the vehicle?,4788,5/29/2023
35347,15,8010,5/26/23 2:57 PM,Has a vehicle inspection been performed?,Yes,5/29/2023
35347,15,8010,5/26/23 2:57 PM,Is the vehicle free of engine and mechanical issues?,Yes,5/29/2023
35347,15,8010,5/26/23 2:57 PM,"If engine or mechanical issues, do you have any comments?",NULL,5/29/2023
35347,15,8010,5/26/23 2:57 PM,Have all fluid levels been checked?,Yes,5/29/2023
35347,15,8010,5/26/23 2:57 PM,Are all tires within serviceable specs?,Yes,5/29/2023
35347,15,8010,5/26/23 2:57 PM,Is the lift gate operational and safe?,Yes,5/29/2023
35347,15,8010,5/26/23 2:57 PM,Any comments?,NULL,5/29/2023
35347,15,8010,5/26/23 2:57 PM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/29/2023
35315,15,12,5/26/23 11:05 AM,What is the vehicle number?,16367,5/26/2023
35315,15,12,5/26/23 11:05 AM,What is the mileage of the vehicle?,9482,5/26/2023
35315,15,12,5/26/23 11:05 AM,Has a vehicle inspection been performed?,Yes,5/26/2023
35315,15,12,5/26/23 11:05 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/26/2023
35315,15,12,5/26/23 11:05 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/26/2023
35315,15,12,5/26/23 11:05 AM,Have all fluid levels been checked?,Yes,5/26/2023
35315,15,12,5/26/23 11:05 AM,Are all tires within serviceable specs?,Yes,5/26/2023
35315,15,12,5/26/23 11:05 AM,Is the lift gate operational and safe?,Yes,5/26/2023
35315,15,12,5/26/23 11:05 AM,Any comments?,NULL,5/26/2023
35315,15,12,5/26/23 11:05 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/26/2023
35314,15,52,5/26/23 7:28 AM,What is the vehicle number?,12394,5/26/2023
35314,15,52,5/26/23 7:28 AM,What is the mileage of the vehicle?,1098,5/26/2023
35314,15,52,5/26/23 7:28 AM,Has a vehicle inspection been performed?,Yes,5/26/2023
35314,15,52,5/26/23 7:28 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/26/2023
35314,15,52,5/26/23 7:28 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/26/2023
35314,15,52,5/26/23 7:28 AM,Have all fluid levels been checked?,Yes,5/26/2023
35314,15,52,5/26/23 7:28 AM,Are all tires within serviceable specs?,Yes,5/26/2023
35314,15,52,5/26/23 7:28 AM,Is the lift gate operational and safe?,Yes,5/26/2023
35314,15,52,5/26/23 7:28 AM,Any comments?,NULL,5/26/2023
35314,15,52,5/26/23 7:28 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/26/2023
35297,15,6,5/26/23 7:28 AM,What is the vehicle number?,13663,5/26/2023
35297,15,6,5/26/23 7:28 AM,What is the mileage of the vehicle?,171122,5/26/2023
35297,15,6,5/26/23 7:28 AM,Has a vehicle inspection been performed?,Yes,5/26/2023
35297,15,6,5/26/23 7:28 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/26/2023
35297,15,6,5/26/23 7:28 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/26/2023
35297,15,6,5/26/23 7:28 AM,Have all fluid levels been checked?,Yes,5/26/2023
35297,15,6,5/26/23 7:28 AM,Are all tires within serviceable specs?,Yes,5/26/2023
35297,15,6,5/26/23 7:28 AM,Is the lift gate operational and safe?,Yes,5/26/2023
35297,15,6,5/26/23 7:28 AM,Any comments?,NULL,5/26/2023
35297,15,6,5/26/23 7:28 AM,"Does anything need attention within 24 hours (if yes, leave comment on next screen)?    For immediate attention, please notify your supervisor or text the fleet manager at 269-998-4339 with a unit number, a brief description of needed repairs, and a call back number.",No,5/26/2023
35311,15,51,5/26/23 6:31 AM,What is the vehicle number?,12385,5/26/2023
35311,15,51,5/26/23 6:31 AM,What is the mileage of the vehicle?,4046,5/26/2023
35311,15,51,5/26/23 6:31 AM,Has a vehicle inspection been performed?,Yes,5/26/2023
35311,15,51,5/26/23 6:31 AM,Is the vehicle free of engine and mechanical issues?,Yes,5/26/2023
35311,15,51,5/26/23 6:31 AM,"If engine or mechanical issues, do you have any comments?",NULL,5/26/2023
35311,15,51,5/26/23 6:31 AM,Have all fluid levels been checked?,Yes,5/26/2023
35311,15,51,5/26/23 6:31 AM,Are all tires within serviceable specs?,Yes,5/26/2023
35311,15,51,5/26/23 6:31 AM,Is the lift gate operational and safe?,Yes,5/26/2023
35311,15,51,5/26/23 6:31 AM,Any comments?,NULL,5/26/2023
