cu_id,Acct #,Cust #,Cust Name,Rt #,Frequency,Current Delivery Day,New Delivery Day,Retape Needed?
8707,73262,0,ROSA'S SQUEEZE INN,102,7,F,W,RETAPE 33
9052,73277,0,ALPENA CRTC-CUSTODIAL SERVICES,102,7,W,F,""
10213,73362,0,NOWICKI'S SAUSAGE SHOP,102,2,W,F,""
10473,73370,73370,POPCORN FACTORY,102,0,F,W,""
10680,73382,0,HILLMAN POST OFFICE,102,2,W,F,""
10768,73386,0,A-1 PARTY MART,102,4,W,F,""
10862,73389,0,SHEPLER FERRY-MACKINAW,102,7,F,W,""
11031,73394,0,MACKINAW CITY POPCORN FACTORY,102,7,F,W,""
2242,73404,5,Thunder Bay Health-Hillman,102,7,W,F,""
11217,73404,0,THUNDER BAY HEALTH-CHEBOYGAN,102,5,F,W,""
11516,73425,0,KILWINS/MACKINAW CITY,102,7,F,W,""
11842,73445,0,ALPENA CRTC CIVIL ENGINEERING,102,7,W,F,""
13227,73490,0,ARBY'S,102,7,F,W,""
13329,73491,0,HOSPICE HOUSE,102,1,F,W,""
13544,73495,0,ALPENA CRTC OPERATIONS,102,7,W,F,RETAPE 24
14487,73519,0,AUDIE'S RESTAURANT,102,7,F,W,""
14502,73522,0,MULLIGANS RESTAURANT,102,7,F,W,""
14553,73525,0,STEP INN RESTAURANT,102,5,F,W,""
14554,73526,0,MICKEY'S MINI MART,102,5,F,W,""
14740,73534,0,HILLTOP PARTY MART,102,4,W,F,""
14832,73539,0,CHEBOYGAN EAGLES,102,6,F,W,""
2241,99031,138,BLARNEY CASTLE,102,7,W,F,""
8564,99031,91,BLARNEY CASTLE #808,102,7,F,W,""
2243,99044,7,TCF NATIONAL BANK #3945,102,5,W,F,""
2018,99046,12,MACKINAW CITY SHELL OIL,102,6,F,W,""
2293,99046,16,Louie's Fresh Market - Cheboyg,102,6,F,W,RETAPE 30
2287,99061,106,SPT. FAMILY FARE #1504,102,7,F,W,RETAPE 31
13589,99103,0,NEXT DOOR STR #5017,102,7,F,W,""
13590,99103,1,NEXT DOOR STR #5018,102,7,F,W,""
2303,99120,3,M BANK - CHEBOYGAN,102,2,F,W,""
1896,99138,0,NONNA LISA,102,7,F,W,RETAPE 11
2268,99138,2,Dixie Saloon Food & Spirits,102,7,F,W,""
11659,99138,8,WIENERLICIOUS,102,7,F,W,""
11660,99138,4,TOAST-A-GO-GO,102,7,F,W,""
12053,99138,3,THE LIGHTHOUSE RESTAURANT,102,7,F,W,""
12139,99138,7,BREWS & BURGERS,102,7,F,W,""
12585,99138,1,MACKINAW COFFEE,102,7,F,W,""
12616,99138,6,THE HISTORIC DEPOT,102,7,F,W,""
12751,99138,5,THE HOOK,102,7,F,W,""
14390,99152,0,HILLMAN IMAGING DEPT.,102,7,W,F,""
13055,99161,106,SPT. FAM FARE #1504 FIRST AID,102,7,F,W,""
